                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 2.1168,                 2.1991,                  2.761,                0.52796,                0.72727,                0.62116,                0.29334,                 2.4391,                 5.6791,                 3.1648,               0.004357,               0.004357,               0.004357
                     59,                   2.06,                 2.4057,                 2.7328,                0.42769,                0.45455,                0.51369,                0.18996,                 2.6177,                 6.5498,                 3.5172,               0.004258,               0.004258,               0.004258
                     60,                 2.1608,                 2.3811,                 2.7556,                0.76713,                0.45455,                0.57847,                0.24546,                 2.5815,                 3.2661,                 3.3206,               0.004159,               0.004159,               0.004159
                     61,                 2.1203,                  2.259,                  2.721,                0.62862,                0.36364,                0.40323,                0.19828,                 2.6614,                 3.8653,                 3.2385,                0.00406,                0.00406,                0.00406
                     62,                  2.212,                 2.5056,                 2.6845,                 0.7394,                0.36364,                0.42791,                0.24434,                 2.4509,                 2.4595,                 2.9564,               0.003961,               0.003961,               0.003961
                     63,                 2.1865,                 2.5087,                 2.7094,                0.29757,                0.27273,                0.27677,                0.12162,                  2.612,                 2.5019,                 3.2647,               0.003862,               0.003862,               0.003862
                     64,                 2.0521,                 2.3316,                 2.7159,                0.53586,                0.36364,                0.42403,                0.16226,                 2.6332,                 2.9395,                 3.2319,               0.003763,               0.003763,               0.003763
                     65,                 2.0779,                 2.2873,                 2.6277,                0.47924,                0.63636,                0.51119,                0.24514,                 2.3825,                 2.3387,                 3.1039,               0.003664,               0.003664,               0.003664
                     66,                 2.2003,                 2.4133,                 2.7135,                0.35203,                0.18182,                0.33415,                0.14416,                 2.3795,                 2.8577,                 3.0379,               0.003565,               0.003565,               0.003565
                     67,                 2.0294,                 2.2572,                 2.5847,                0.54488,                0.54545,                0.49886,                0.22063,                 2.4415,                 2.4737,                 3.0699,               0.003466,               0.003466,               0.003466
                     68,                 1.9914,                 2.0719,                 2.6448,                0.67429,                0.63636,                0.59335,                0.25886,                 2.5599,                 1.9888,                 3.2511,               0.003367,               0.003367,               0.003367
                     69,                 2.0717,                 2.3102,                 2.5908,                      1,                0.44953,                0.55791,                0.26632,                 2.3974,                 2.0179,                  2.987,               0.003268,               0.003268,               0.003268
                     70,                 2.0168,                 2.1317,                 2.6319,                0.70927,                0.54545,                0.56494,                0.32917,                 2.3531,                 1.9526,                  2.948,               0.003169,               0.003169,               0.003169
                     71,                 2.0326,                 2.0996,                 2.6584,                0.77382,                0.62341,                0.63725,                0.21166,                 2.7816,                  3.525,                 3.3428,                0.00307,                0.00307,                0.00307
                     72,                 2.0345,                 2.1791,                 2.5707,                0.54212,                0.36364,                0.44546,                0.18625,                 2.8856,                 2.2744,                 3.5441,               0.002971,               0.002971,               0.002971
                     73,                 1.9627,                 2.1536,                 2.5046,                0.80206,                0.54545,                0.59523,                0.32997,                 2.2872,                 2.1727,                 2.9624,               0.002872,               0.002872,               0.002872
                     74,                 1.9019,                 1.9265,                 2.4099,                      1,                 0.5421,                0.61288,                0.29104,                 2.6261,                 2.2579,                 3.2596,               0.002773,               0.002773,               0.002773
                     75,                   1.99,                 2.0939,                 2.5529,                 0.7653,                0.63636,                0.64922,                0.39192,                 2.2601,                 1.8827,                 2.8211,               0.002674,               0.002674,               0.002674
                     76,                 1.9312,                 2.1071,                 2.5391,                      1,                0.53729,                0.65285,                0.36616,                 2.2274,                 1.9891,                 2.9206,               0.002575,               0.002575,               0.002575
                     77,                 1.9647,                 2.0899,                 2.5169,                0.81756,                0.45455,                0.56927,                0.32012,                 2.1826,                 2.0227,                 2.7856,               0.002476,               0.002476,               0.002476
                     78,                 1.9189,                 1.8587,                 2.4735,                      1,                0.34901,                0.59526,                0.24323,                 2.7146,                 2.5333,                 3.3781,               0.002377,               0.002377,               0.002377
                     79,                 1.8301,                  1.974,                  2.447,                0.65317,                0.63636,                0.62085,                0.34057,                 2.4533,                  2.089,                 3.0893,               0.002278,               0.002278,               0.002278
                     80,                 1.8562,                 1.9722,                 2.4376,                0.96007,                0.63636,                0.66392,                 0.2703,                 2.5652,                 2.1269,                 3.1861,               0.002179,               0.002179,               0.002179
                     81,                 1.8386,                 1.8935,                 2.4564,                0.85422,                 0.5343,                0.62892,                0.34887,                 2.2626,                 2.2748,                 2.8763,                0.00208,                0.00208,                0.00208
                     82,                 1.7604,                 1.8369,                 2.3497,                0.86649,                0.59304,                0.66764,                0.38356,                 2.2241,                 2.5256,                 2.8922,               0.001981,               0.001981,               0.001981
                     83,                 1.7502,                 1.7627,                 2.3382,                0.96616,                0.45455,                0.64277,                0.36704,                 2.3088,                 1.9892,                 3.0314,               0.001882,               0.001882,               0.001882
                     84,                 1.8159,                 2.0393,                  2.416,                0.63983,                0.63636,                0.60342,                0.23747,                 2.5126,                 2.2488,                 3.3749,               0.001783,               0.001783,               0.001783
                     85,                 1.7577,                 1.7677,                 2.3092,                0.69871,                0.45455,                 0.5905,                0.30805,                 2.2949,                 2.0671,                 3.0432,               0.001684,               0.001684,               0.001684
                     86,                 1.8668,                 1.8078,                 2.4711,                 0.6959,                0.36364,                0.54777,                0.25746,                 2.3588,                 2.4139,                 3.1866,               0.001585,               0.001585,               0.001585
                     87,                  1.696,                 1.7209,                 2.2746,                0.67333,                0.63636,                0.61292,                0.34278,                 2.4501,                 1.6936,                 3.2517,               0.001486,               0.001486,               0.001486
