                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.9811,                 1.9229,                 2.3756,                0.12069,                0.63636,                0.57416,                0.19447,                 2.6317,                 3.0479,                  2.976,               0.005347,               0.005347,               0.005347
                     49,                  2.033,                 2.0893,                  2.442,                0.60636,                0.42291,                0.54307,                0.14567,                 3.0818,                 2.3212,                 3.3935,               0.005248,               0.005248,               0.005248
                     50,                 1.9981,                 1.9138,                 2.3808,                0.64805,                0.54545,                0.48482,                0.20197,                 2.2123,                 1.9633,                 2.7155,               0.005149,               0.005149,               0.005149
                     51,                  2.062,                 1.9996,                 2.4867,                0.50155,                0.45455,                0.47905,                0.19548,                 2.3866,                 2.3698,                 2.9688,                0.00505,                0.00505,                0.00505
                     52,                 1.9366,                 1.9949,                  2.379,                0.40585,                0.54545,                0.42717,                0.19418,                 2.5997,                  2.463,                 3.2302,               0.004951,               0.004951,               0.004951
                     53,                 1.9874,                 2.6567,                 2.3261,                0.83083,                0.44773,                 0.5122,                0.16561,                 2.8552,                 2.1093,                 3.3844,               0.004852,               0.004852,               0.004852
                     54,                 2.0334,                 1.9593,                 2.4795,                0.79827,                0.36049,                0.43358,                0.24457,                 2.3311,                 2.1568,                 2.9264,               0.004753,               0.004753,               0.004753
                     55,                 1.9215,                 1.7752,                 2.3428,                0.52267,                0.45455,                0.44062,                0.22769,                 2.0616,                 1.8901,                 2.8364,               0.004654,               0.004654,               0.004654
                     56,                 1.9121,                 1.9562,                  2.359,                 0.4928,                0.45455,                0.42883,                0.21582,                 2.3502,                  1.888,                 2.8415,               0.004555,               0.004555,               0.004555
                     57,                 1.8935,                  1.795,                 2.2673,                0.58142,                0.36364,                0.46458,                0.24054,                 2.2304,                  2.202,                 2.8025,               0.004456,               0.004456,               0.004456
                     58,                 1.8835,                 1.7791,                 2.3648,                0.97258,                0.45455,                 0.6064,                0.27044,                 2.2124,                 1.7516,                 2.9506,               0.004357,               0.004357,               0.004357
                     59,                 1.9201,                 1.7376,                 2.2637,                 0.7849,                0.36364,                0.49355,                0.24659,                 2.3973,                 1.9641,                  3.094,               0.004258,               0.004258,               0.004258
                     60,                 1.8462,                 1.6975,                 2.2402,                  0.574,                0.54545,                0.41914,                0.19988,                 2.2057,                  2.402,                 2.7357,               0.004159,               0.004159,               0.004159
                     61,                 1.8329,                 1.7539,                 2.2379,                0.56988,                0.72301,                0.66032,                0.33345,                 2.1677,                 2.0283,                 2.8738,                0.00406,                0.00406,                0.00406
                     62,                 1.7912,                 1.6245,                 2.2256,                0.88354,                0.36364,                0.52943,                0.21181,                 2.4414,                 2.5404,                  3.093,               0.003961,               0.003961,               0.003961
                     63,                 1.9554,                 1.9114,                 2.3862,                0.71549,                0.36364,                0.49024,                0.26087,                 2.1279,                 2.6559,                 3.0023,               0.003862,               0.003862,               0.003862
                     64,                 1.8623,                 1.7039,                  2.272,                0.55016,                0.22742,                0.43448,                0.25336,                  2.112,                 2.4388,                 2.7753,               0.003763,               0.003763,               0.003763
                     65,                 1.8379,                 1.6555,                 2.2457,                0.63386,                0.36364,                0.49166,                0.20249,                 2.4755,                 2.1191,                 2.9345,               0.003664,               0.003664,               0.003664
                     66,                 1.8014,                 1.7071,                 2.2175,                0.81816,                0.54545,                0.59619,                0.31975,                 2.1947,                 1.7551,                 2.8148,               0.003565,               0.003565,               0.003565
                     67,                 1.8448,                  1.697,                 2.1099,                0.85931,                0.45455,                0.60585,                0.33839,                 2.0463,                 1.8325,                 2.6893,               0.003466,               0.003466,               0.003466
                     68,                 1.7437,                 1.5807,                 2.2534,                0.64972,                0.54545,                0.54617,                0.27551,                 2.3638,                 1.6806,                 2.9184,               0.003367,               0.003367,               0.003367
                     69,                 1.7906,                 1.5972,                 2.1544,                0.76743,                0.36364,                0.51492,                0.28038,                 2.3417,                 1.6851,                 2.9935,               0.003268,               0.003268,               0.003268
                     70,                 1.7852,                 1.5401,                 2.2064,                0.45911,                0.46368,                0.50727,                0.24717,                 2.2875,                 1.9404,                 2.8878,               0.003169,               0.003169,               0.003169
                     71,                 1.6386,                 1.3625,                 2.0506,                0.40028,                0.63636,                0.31919,                0.17751,                 2.2617,                 1.8845,                  3.001,                0.00307,                0.00307,                0.00307
                     72,                  1.715,                 1.5462,                 2.0732,                 0.4761,                0.45455,                0.35686,                 0.1525,                 2.2897,                 2.1789,                  2.903,               0.002971,               0.002971,               0.002971
                     73,                 1.7562,                 1.6727,                 2.1606,                0.92136,                0.45455,                 0.5705,                0.21829,                 2.1084,                 1.8916,                 2.8375,               0.002872,               0.002872,               0.002872
                     74,                 1.7977,                 1.6856,                 2.2484,                 0.8485,                0.54545,                0.61613,                0.34469,                 2.0876,                  1.791,                 2.8329,               0.002773,               0.002773,               0.002773
                     75,                 1.6899,                 1.5968,                 2.0616,                0.72005,                0.46922,                0.49815,                0.31556,                 2.1171,                 2.2464,                 2.6822,               0.002674,               0.002674,               0.002674
                     76,                 1.6737,                 1.4798,                 2.0768,                0.65203,                0.54545,                0.50279,                0.26338,                 2.1888,                 1.8434,                 2.8695,               0.002575,               0.002575,               0.002575
                     77,                 1.5556,                 1.3822,                 1.9502,                0.49095,                0.63636,                0.52681,                0.26886,                 2.2421,                 1.8437,                 3.0115,               0.002476,               0.002476,               0.002476
                     78,                 1.5935,                 1.4375,                  2.048,                0.98168,                0.45455,                0.56476,                0.25865,                 2.4887,                 1.8292,                  3.151,               0.002377,               0.002377,               0.002377
                     79,                 1.5725,                 1.4047,                 2.0162,                0.73273,                0.54545,                0.57854,                0.28509,                  2.327,                  1.934,                 3.1251,               0.002278,               0.002278,               0.002278
                     80,                 1.6418,                 1.6148,                  2.075,                0.73418,                0.54545,                0.51674,                0.29557,                  2.147,                 1.7139,                 2.8345,               0.002179,               0.002179,               0.002179
                     81,                 1.6395,                 1.4209,                 2.0229,                0.72322,                0.54545,                0.54211,                0.29015,                 2.2777,                 1.8154,                  2.931,                0.00208,                0.00208,                0.00208
                     82,                 1.6662,                 1.3953,                 2.0745,                0.65468,                0.54545,                0.58076,                0.33678,                  2.291,                 1.6673,                 2.8793,               0.001981,               0.001981,               0.001981
                     83,                 1.5093,                 1.3293,                 1.9406,                0.60872,                0.45455,                0.56846,                0.32848,                 2.1691,                 2.0318,                 2.7034,               0.001882,               0.001882,               0.001882
                     84,                 1.4838,                 1.4166,                 1.9244,                0.58211,                0.45455,                0.40353,                0.23323,                 2.1316,                 1.8762,                 2.8175,               0.001783,               0.001783,               0.001783
                     85,                 1.5814,                  1.433,                 1.9637,                0.52132,                0.63636,                0.49004,                0.27254,                  2.199,                 1.6252,                 2.9576,               0.001684,               0.001684,               0.001684
                     86,                 1.5149,                 1.4297,                 1.9525,                0.52851,                0.54545,                0.53861,                0.25715,                 2.3979,                 1.8166,                 2.9912,               0.001585,               0.001585,               0.001585
                     87,                 1.4687,                 1.2974,                 1.9733,                0.77384,                0.36364,                0.54612,                0.35174,                 2.2995,                 1.7355,                 3.0091,               0.001486,               0.001486,               0.001486
                     88,                 1.4418,                 1.2792,                 1.8877,                0.70152,                0.43017,                 0.5145,                0.32424,                 2.1474,                 2.0156,                 2.8037,               0.001387,               0.001387,               0.001387
                     89,                    1.5,                 1.3197,                 1.9848,                0.56123,                0.54545,                0.56246,                0.32088,                 2.2837,                 1.7732,                 2.9421,               0.001288,               0.001288,               0.001288
                     90,                  1.515,                 1.3512,                 1.9517,                 0.4869,                0.45455,                 0.4679,                0.26231,                   2.27,                 2.1985,                 3.0644,               0.001189,               0.001189,               0.001189
                     91,                  1.412,                  1.302,                 1.8802,                0.47953,                0.45455,                0.52346,                0.25393,                 2.3167,                 1.9213,                 3.0134,                0.00109,                0.00109,                0.00109
                     92,                 1.3302,                   1.16,                 1.8065,                0.66613,                0.45455,                0.55625,                0.34054,                 1.9911,                 1.5892,                  2.689,               0.000991,               0.000991,               0.000991
                     93,                 1.4787,                 1.2357,                 1.8755,                0.85231,                0.52702,                0.59803,                0.32636,                 2.2541,                 1.6904,                 2.9894,               0.000892,               0.000892,               0.000892
                     94,                 1.3864,                 1.2053,                 1.8801,                  0.744,                0.53019,                0.57027,                0.30387,                 2.2659,                 1.7286,                 3.0945,               0.000793,               0.000793,               0.000793
                     95,                 1.4139,                  1.179,                 1.8788,                0.58029,                0.54545,                0.50941,                0.32398,                 2.1227,                 1.5773,                  2.867,               0.000694,               0.000694,               0.000694
                     96,                 1.3736,                 1.2038,                 1.7933,                0.68462,                0.45455,                0.58191,                   0.34,                 2.2373,                 1.6066,                  2.905,               0.000595,               0.000595,               0.000595
                     97,                 1.3799,                 1.2192,                  1.837,                0.52755,                0.54545,                0.48624,                  0.284,                 2.2623,                 1.7845,                 2.9347,               0.000496,               0.000496,               0.000496
                     98,                 1.4094,                 1.2915,                 1.8979,                0.67476,                0.45455,                0.56475,                0.32947,                 2.0762,                 1.8936,                 2.6789,               0.000397,               0.000397,               0.000397
                     99,                  1.386,                 1.4092,                 1.7375,                0.73768,                0.54545,                0.60257,                0.33139,                 2.1658,                  1.672,                 2.7938,               0.000298,               0.000298,               0.000298
