                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                   2.36,                 2.6998,                 2.9727,                0.46101,                0.54545,                0.48822,                 0.2526,                 2.5465,                 3.1838,                 3.1964,               0.004159,               0.004159,               0.004159
                     61,                 2.2971,                 2.6086,                 2.9651,                0.51095,                0.54545,                0.54487,                0.26453,                 2.5243,                 2.5702,                 3.1703,                0.00406,                0.00406,                0.00406
                     62,                 2.3553,                 2.6416,                 2.9399,                0.40715,                0.45455,                0.36533,                0.18064,                 2.6782,                 2.5963,                 3.2286,               0.003961,               0.003961,               0.003961
                     63,                 2.2837,                 2.9984,                 2.9285,                0.49818,                0.54181,                0.48767,                0.21903,                 2.8545,                 2.7317,                 3.2391,               0.003862,               0.003862,               0.003862
                     64,                  2.327,                 2.5386,                 2.9665,                0.43613,                0.54545,                0.47947,                0.23436,                 2.4839,                 2.4947,                 3.2065,               0.003763,               0.003763,               0.003763
                     65,                  2.199,                 2.6172,                 2.9033,                0.73658,                0.51129,                0.53037,                0.22458,                 2.6024,                 3.7206,                 3.2772,               0.003664,               0.003664,               0.003664
                     66,                 2.4814,                 2.8848,                 2.9758,                0.42681,                0.34055,                 0.4331,                0.22551,                 2.7019,                 2.5541,                 3.1921,               0.003565,               0.003565,               0.003565
                     67,                 2.3675,                 2.6776,                 2.9756,                0.40214,                0.72727,                0.52394,                0.27403,                  2.637,                 2.2067,                 3.1701,               0.003466,               0.003466,               0.003466
                     68,                 2.2258,                 2.4373,                 2.9341,                0.71554,                0.36364,                0.54447,                0.26322,                 2.5959,                 2.2118,                 3.1512,               0.003367,               0.003367,               0.003367
                     69,                  2.332,                 2.6946,                 2.9082,                0.41145,                0.54545,                0.47872,                0.25465,                 2.6369,                  2.276,                 3.2545,               0.003268,               0.003268,               0.003268
                     70,                 2.2399,                 2.6672,                 2.8777,                0.47192,                0.65069,                0.53051,                0.23383,                 2.7018,                 2.6538,                 3.2338,               0.003169,               0.003169,               0.003169
                     71,                 2.2583,                 2.3666,                 2.8748,                0.48077,                0.45455,                0.50415,                0.22786,                 2.5683,                 4.7999,                 3.1934,                0.00307,                0.00307,                0.00307
                     72,                 2.2013,                 2.4708,                 2.8333,                  0.496,                0.72727,                0.53055,                0.24776,                 2.6195,                 2.4423,                 3.1188,               0.002971,               0.002971,               0.002971
                     73,                 2.1662,                 2.4923,                 2.8043,                 0.7211,                0.47188,                0.55471,                0.20261,                  2.645,                  2.702,                 3.2831,               0.002872,               0.002872,               0.002872
                     74,                  2.139,                 2.2502,                 2.7812,                0.61614,                0.45455,                0.49301,                0.21553,                 2.6037,                 2.4266,                 3.3364,               0.002773,               0.002773,               0.002773
                     75,                 2.2854,                 2.4136,                 2.8552,                0.75168,                0.45455,                  0.544,                0.26702,                 2.4488,                 2.4901,                 3.0868,               0.002674,               0.002674,               0.002674
                     76,                  2.162,                 2.4861,                 2.8274,                0.76904,                0.54545,                0.57431,                0.28224,                  2.453,                 2.2904,                 3.0909,               0.002575,               0.002575,               0.002575
                     77,                 2.2477,                  2.544,                 2.8416,                0.61987,                0.59512,                0.56266,                0.28207,                 2.4392,                  2.036,                 3.1286,               0.002476,               0.002476,               0.002476
                     78,                  2.233,                 2.3478,                 2.7639,                0.48928,                0.63636,                0.61961,                0.29471,                 2.4547,                  2.549,                 3.1181,               0.002377,               0.002377,               0.002377
                     79,                 2.1074,                 2.3782,                 2.8156,                0.59064,                0.52631,                0.53601,                0.26545,                 2.5111,                 2.5066,                 3.1744,               0.002278,               0.002278,               0.002278
                     80,                 2.2223,                 2.3947,                 2.8653,                0.49921,                0.72727,                0.53914,                0.24256,                 2.4908,                 2.2731,                 3.1369,               0.002179,               0.002179,               0.002179
                     81,                 2.1712,                 2.3411,                 2.8166,                0.67501,                0.63636,                0.65912,                0.30567,                 2.2269,                 3.5405,                 3.0588,                0.00208,                0.00208,                0.00208
                     82,                 2.1242,                 2.3196,                 2.7251,                0.58551,                0.54545,                0.57425,                0.26683,                 2.5066,                 3.1158,                 3.1541,               0.001981,               0.001981,               0.001981
                     83,                 2.1224,                 2.2545,                 2.7411,                0.81984,                0.54545,                0.62685,                0.26849,                 2.5452,                 2.5867,                 3.1561,               0.001882,               0.001882,               0.001882
                     84,                  2.112,                 2.5014,                 2.7486,                0.67972,                0.63636,                0.60654,                0.29967,                 2.5583,                 2.2043,                 3.1513,               0.001783,               0.001783,               0.001783
                     85,                 2.0553,                 2.2428,                 2.6495,                0.63032,                0.45455,                0.56045,                0.27432,                 2.6074,                  2.566,                 3.2281,               0.001684,               0.001684,               0.001684
                     86,                 2.1421,                 2.2984,                 2.7705,                0.81519,                0.63636,                0.66525,                0.33494,                 2.5539,                 2.0741,                 3.2566,               0.001585,               0.001585,               0.001585
                     87,                 2.0894,                 2.2158,                 2.7096,                0.95589,                0.63636,                0.72084,                0.35172,                 2.4017,                 1.9936,                 3.0815,               0.001486,               0.001486,               0.001486
                     88,                 2.1031,                 2.2847,                 2.6662,                0.69646,                0.62671,                0.60875,                0.32626,                 2.4142,                 2.3571,                 2.9947,               0.001387,               0.001387,               0.001387
                     89,                 1.9693,                 1.9979,                 2.6062,                 0.7578,                0.57097,                0.65211,                0.32395,                 2.5264,                 2.1646,                 3.0623,               0.001288,               0.001288,               0.001288
                     90,                 2.1106,                 2.1222,                 2.7557,                0.99726,                0.54545,                0.67514,                0.35948,                 2.4796,                 1.8244,                 3.1473,               0.001189,               0.001189,               0.001189
                     91,                 2.0351,                 2.1152,                 2.6597,                0.77271,                0.61979,                0.66623,                0.30449,                 2.3289,                 2.1612,                 2.9747,                0.00109,                0.00109,                0.00109
                     92,                 1.9602,                 2.1472,                 2.5713,                0.73662,                0.63636,                0.63564,                 0.3404,                 2.3918,                 2.1038,                 3.0012,               0.000991,               0.000991,               0.000991
                     93,                 1.9227,                 2.0979,                 2.6014,                 0.7264,                0.72727,                0.73092,                0.37004,                 2.3705,                 2.0059,                 2.9708,               0.000892,               0.000892,               0.000892
                     94,                 2.0794,                 2.2903,                 2.7272,                0.76015,                0.63636,                0.70471,                0.38791,                 2.3074,                 2.2953,                 2.8988,               0.000793,               0.000793,               0.000793
                     95,                 2.0152,                 2.1358,                 2.6149,                0.88165,                0.72727,                0.70854,                0.36145,                 2.2768,                 2.1651,                 2.9173,               0.000694,               0.000694,               0.000694
                     96,                 1.9458,                 2.0858,                 2.6079,                0.69155,                0.63636,                0.64062,                0.36762,                 2.3125,                 2.0928,                 2.9782,               0.000595,               0.000595,               0.000595
                     97,                 2.0395,                 2.3141,                 2.6586,                      1,                0.43306,                0.63362,                0.35133,                 2.3213,                 2.0242,                 2.9422,               0.000496,               0.000496,               0.000496
                     98,                 2.0142,                 2.3322,                 2.6663,                 0.5705,                0.63636,                0.60553,                0.34127,                 2.3173,                 2.0041,                 2.9728,               0.000397,               0.000397,               0.000397
                     99,                 2.0339,                 2.1562,                 2.6613,                0.75655,                0.63636,                0.61844,                0.33593,                 2.3312,                 1.9647,                 3.0061,               0.000298,               0.000298,               0.000298
