                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 2.2144,                 2.0879,                 2.6008,                0.69856,                0.54545,                0.58221,                0.26127,                 2.4347,                 2.3064,                 3.0154,               0.004555,               0.004555,               0.004555
                     57,                 2.0734,                 2.1385,                 2.4203,                0.63717,                0.63636,                0.53924,                0.27759,                  2.409,                 3.4578,                 3.1582,               0.004456,               0.004456,               0.004456
                     58,                 2.1061,                 1.9637,                 2.4961,                0.65408,                0.45455,                0.56256,                0.22988,                    2.6,                 2.1585,                 3.1254,               0.004357,               0.004357,               0.004357
                     59,                 2.1214,                 2.0732,                 2.5055,                0.68003,                0.54545,                0.50552,                0.27595,                 2.5394,                 1.9174,                 3.1742,               0.004258,               0.004258,               0.004258
                     60,                 2.0112,                 2.0766,                 2.4345,                 0.4767,                0.58129,                0.49682,                0.26665,                 2.2627,                 1.9537,                 2.8847,               0.004159,               0.004159,               0.004159
                     61,                 2.0282,                 2.0503,                 2.3977,                0.84792,                0.54545,                0.62927,                0.29871,                 2.4538,                 2.1036,                 2.9512,                0.00406,                0.00406,                0.00406
                     62,                 2.1137,                 2.2014,                 2.3791,                0.57551,                0.54545,                0.56955,                0.31025,                 2.4462,                 1.8762,                  3.034,               0.003961,               0.003961,               0.003961
                     63,                 2.0429,                 2.1151,                 2.3931,                0.58226,                0.27273,                0.37957,                0.21014,                 2.4254,                 3.5775,                 3.0376,               0.003862,               0.003862,               0.003862
                     64,                 2.1094,                 1.9908,                 2.5622,                0.65702,                0.36364,                 0.6021,                0.25371,                 2.7926,                 2.4999,                  3.296,               0.003763,               0.003763,               0.003763
                     65,                 2.1044,                 2.2272,                 2.4398,                0.67263,                0.18182,                0.51106,                0.30081,                 2.3694,                 2.5997,                 2.9521,               0.003664,               0.003664,               0.003664
                     66,                 2.3088,                  2.549,                 2.5126,                0.56863,                0.45455,                0.55262,                0.29049,                 2.4663,                 2.0842,                 3.0684,               0.003565,               0.003565,               0.003565
                     67,                 2.1059,                  2.047,                 2.3756,                0.60649,                0.54545,                0.52758,                0.31311,                 2.3885,                 2.0052,                 3.0286,               0.003466,               0.003466,               0.003466
                     68,                 2.0571,                 1.9158,                 2.4653,                0.80008,                0.45455,                0.57337,                0.29018,                  2.353,                 2.5044,                 3.0413,               0.003367,               0.003367,               0.003367
                     69,                 2.0753,                 2.1723,                 2.3853,                0.69503,                0.41778,                 0.5103,                0.30015,                 2.2006,                 1.9085,                 2.9467,               0.003268,               0.003268,               0.003268
                     70,                 2.0521,                 2.0232,                 2.4323,                0.69029,                0.54545,                0.54674,                0.32466,                 2.2795,                 2.6563,                 3.1134,               0.003169,               0.003169,               0.003169
