                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.8948,                 1.2318,                 1.6354,                0.67812,                0.69136,                0.68417,                0.33249,                 1.8622,                    1.2,                  1.739,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9016,                 1.2324,                 1.6412,                0.69331,                0.68045,                0.69331,                0.33998,                 1.8292,                 1.1848,                 1.7136,               0.001109,               0.001109,               0.001109
                     48,                 1.8979,                 1.2527,                 1.6341,                0.71783,                0.73844,                0.71147,                0.35559,                  1.803,                 1.1465,                  1.692,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9081,                 1.2364,                 1.6339,                0.71442,                0.72093,                 0.7091,                0.35419,                 1.8093,                 1.1413,                 1.7053,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8857,                 1.2203,                 1.6414,                 0.6834,                0.73252,                0.70233,                0.33629,                 1.8643,                 1.1521,                 1.7315,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8894,                 1.2253,                 1.6319,                0.70542,                0.71232,                0.71146,                0.34428,                 1.8392,                 1.1962,                 1.7174,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8703,                  1.212,                 1.6045,                0.71927,                0.71318,                0.71823,                0.35545,                 1.8026,                 1.1627,                  1.702,                0.00101,                0.00101,                0.00101
                     53,                 1.8941,                 1.2242,                 1.6264,                0.72315,                0.71748,                0.72218,                 0.3604,                 1.7836,                 1.1433,                 1.6881,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8712,                 1.1947,                 1.6161,                0.72777,                0.71576,                0.70995,                0.34244,                 1.8694,                 1.1501,                 1.7371,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8982,                  1.234,                 1.6201,                 0.6902,                0.70042,                0.69114,                0.32271,                 1.9064,                  1.219,                 1.7509,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.878,                 1.2023,                 1.6178,                0.71377,                0.70022,                0.70272,                0.35197,                 1.7909,                 1.1684,                 1.6841,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.8822,                 1.2094,                 1.6235,                0.71021,                0.70505,                0.71075,                0.34589,                 1.8123,                 1.1407,                 1.6994,               0.000911,               0.000911,               0.000911
                     58,                 1.8708,                 1.2056,                 1.6014,                0.68778,                0.70543,                0.70759,                0.34026,                 1.8533,                 1.1627,                 1.7176,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.8841,                 1.1907,                 1.6073,                 0.7125,                0.71935,                0.71823,                0.35081,                 1.8325,                 1.1178,                 1.7075,              0.0008714,              0.0008714,              0.0008714
